	condition	participant	evaluation	redcube_mean	redcube_std	redcube_N	greencube_mean	greencube_std	greencube_N	bluecube_mean	bluecube_std	bluecube_N	bonus_mean	bonus_std	bonus_N	penalty_mean	penalty_std	penalty_N	lastcube_mean	lastcube_std	lastcube_N	overalltime_mean	overalltime_std	overalltime_N	boxestouched_mean	boxestouched_std	boxestouched_N	edgetouches_mean	edgetouches_std	edgetouches_N	distance_mean	distance_std	distance_N	taskcomplete_mean	taskcomplete_std	taskcomplete_N	removedcubes_mean	removedcubes_std	removedcubes_N	fallofftime_mean	fallofftime_std	fallofftime_N	lastmovedtime_mean	lastmovedtime_std	lastmovedtime_N	timeout_mean	timeout_std	timout_N	firstcube_mean	firstcube_std	firstcube_N	secondcube_mean	secondcube_std	secondcube_N	thirdcube_mean	thirdcube_std	thirdcube_N	firstcube_median	secondcube_median	thirdcube_median	lastcube_median	overalltime_median	boxestouched_median	edgetouches_median	distance_median	fallofftime_median	lastmovedtime_median	tests	keystrokes	searchmethod
41	1.0	49.0	2.0	36.0	27.51	77.0	28.9	18.81	68.0	48.81	40.47	87.0	0.0	0.0	99.0	0.0	0.0	99.0	82.17	26.62	35.0	82.17	26.62	35.0	10.23	4.22	35.0	3.26	1.87	35.0	2499.13	353.3	35.0	0.35	0.48	99.0	2.34	0.5	99.0			0.0	99.79	81.94	99.0	0.65	0.48	99.0	15.48	7.59	99.0	46.68	29.19	98.0	82.17	26.62	35.0	13.8	37.8	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	70.7	3.0	52.0	3.0
42	1.0	49.0	3.0	28.45	26.29	74.0	22.56	9.71	81.0	46.21	41.64	90.0	0.0	0.0	99.0	0.0	0.0	99.0	79.66	36.76	47.0	79.66	36.76	47.0	10.47	4.16	47.0	2.85	1.25	47.0	2428.64	342.93	47.0	0.47	0.5	99.0	2.47	0.5	99.0			0.0	79.57	66.78	99.0	0.53	0.5	99.0	13.54	8.23	99.0	30.38	17.22	99.0	79.66	36.76	47.0	12.5	25.9	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	64.2	2.0	65.0	3.0
43	1.0	49.0	4.0	30.07	30.81	57.0	29.74	21.25	79.0	24.44	22.5	90.0	0.0	0.0	99.0	0.0	0.0	99.0	65.56	36.21	28.0	65.56	36.21	28.0	8.64	4.3	28.0	3.71	2.32	28.0	2666.82	316.18	28.0	0.28	0.45	99.0	2.28	0.45	99.0			0.0	86.82	87.46	99.0	0.72	0.45	99.0	12.49	7.16	99.0	32.23	17.36	99.0	65.56	36.21	28.0	12.0	28.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	42.3	2.0	77.0	3.0
44	1.0	49.0	5.0	33.77	35.31	57.0	33.35	24.51	79.0	27.15	24.38	91.0	5.76	4.97	99.0	4.24	5.91	99.0	72.72	40.07	29.0	69.62	40.81	29.0	8.72	4.24	29.0	3.62	2.29	29.0	2683.79	325.78	29.0	0.29	0.46	99.0	2.29	0.46	99.0			0.0	95.42	92.51	99.0	0.71	0.46	99.0	13.94	8.28	99.0	35.77	20.0	99.0	72.72	40.07	29.0	13.5	31.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	48.0	3.0	48.0	3.0
45	0.0	50.0	1.0	4.78	0.71	5.0	5.31	1.16	7.0	4.98	1.32	5.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.17	0.38	99.0	5.84	1.9	99.0	5.85	1.9	99.0	0.0	0.0	99.0	5.06	1.06	17.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	5.91	5.9	0.0	2115.0	4.0
46	0.0	50.0	2.0	4.78	0.71	5.0	5.3	1.17	7.0	4.96	1.28	5.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.17	0.38	99.0	5.84	1.9	99.0	5.85	1.91	99.0	0.0	0.0	99.0	5.05	1.05	17.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	5.91	5.9	2.0	232.0	4.0
47	0.0	50.0	3.0	4.78	0.71	5.0	5.3	1.17	7.0	4.96	1.28	5.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.17	0.38	99.0	5.84	1.9	99.0	5.84	1.9	99.0	0.0	0.0	99.0	5.05	1.05	17.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	5.91	5.9	0.0	360.0	4.0
48	0.0	50.0	4.0	144.31	124.25	70.0	96.59	107.35	78.0	139.04	130.58	69.0	0.0	0.0	99.0	0.0	0.0	99.0	221.34	99.36	42.0	221.34	99.36	42.0	17.52	10.52	42.0	27.24	11.51	42.0	24300.49	10893.09	42.0	0.42	0.5	99.0	2.19	0.84	99.0			0.0	324.09	109.5	99.0	0.58	0.5	99.0	57.05	84.86	95.0	156.41	124.56	80.0	221.34	99.36	42.0	22.2	197.5	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	399.1	2.0	277.0	4.0
49	0.0	50.0	5.0	4.54	0.69	5.0	5.11	1.16	7.0	4.74	1.24	5.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.17	0.38	99.0	6.05	1.74	90.0	5.55	2.29	99.0	0.09	0.29	99.0	4.84	1.03	17.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	6.38	5.9	0.0	380.0	4.0
50	1.0	51.0	1.0	112.66	79.14	65.0	94.73	74.47	63.0	105.84	89.1	73.0	0.0	0.0	99.0	0.0	0.0	99.0	208.73	90.91	32.0	208.73	90.91	32.0	28.28	11.33	32.0	26.12	12.59	32.0	9400.75	4512.46	32.0	0.32	0.47	99.0	2.03	0.86	99.0			0.0	334.17	103.43	99.0	0.68	0.47	99.0	53.92	41.07	93.0	122.67	63.75	76.0	208.73	90.91	32.0	44.8	135.2	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	395.3	34.0	2176.0	1.0
51	1.0	51.0	2.0	124.11	95.57	59.0	131.6	108.77	62.0	125.99	102.95	68.0	0.0	0.0	99.0	0.0	0.0	99.0	243.92	69.11	26.0	243.92	69.11	26.0	21.96	9.04	26.0	25.5	11.19	26.0	6670.61	2056.99	26.0	0.26	0.44	99.0	1.91	0.83	99.0			0.0	354.24	75.52	99.0	0.74	0.44	99.0	80.86	85.5	95.0	147.42	92.31	68.0	243.92	69.11	26.0	48.9	197.7	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	394.1	2.0	137.0	1.0
52	1.0	51.0	3.0	55.1	42.12	93.0	50.63	40.44	97.0	46.08	37.37	97.0	0.0	0.0	99.0	0.0	0.0	99.0	84.34	44.5	89.0	84.34	44.5	89.0	10.67	5.59	89.0	8.73	6.3	89.0	3109.53	1161.74	89.0	0.9	0.3	99.0	2.9	0.3	99.0			0.0	111.44	96.25	99.0	0.1	0.3	99.0	22.43	16.94	99.0	48.26	27.72	99.0	84.34	44.5	89.0	14.1	43.7	72.6	72.6	72.6	10.0	8.0	2983.39	500.0	72.6	3.0	129.0	1.0
53	1.0	51.0	4.0	72.87	54.73	98.0	65.48	50.31	99.0	66.11	66.89	99.0	0.0	0.0	99.0	0.0	0.0	99.0	117.37	62.64	98.0	117.37	62.64	98.0	15.42	6.91	98.0	6.23	3.82	98.0	4474.41	1834.7	98.0	0.99	0.1	99.0	2.99	0.1	99.0			0.0	120.07	68.14	99.0	0.01	0.1	99.0	26.68	21.81	99.0	60.88	37.83	99.0	117.37	62.64	98.0	14.3	54.4	107.2	107.2	107.2	15.0	6.0	4326.53	500.0	107.0	4.0	101.0	1.0
54	1.0	51.0	5.0	72.88	54.73	98.0	65.49	50.31	99.0	66.11	66.89	99.0	12.53	4.37	99.0	16.97	4.62	99.0	117.37	62.64	98.0	121.86	62.63	98.0	15.4	6.9	98.0	6.23	3.82	98.0	4474.41	1834.7	98.0	0.99	0.1	99.0	2.99	0.1	99.0			0.0	120.07	68.14	99.0	0.01	0.1	99.0	26.68	21.81	99.0	60.88	37.83	99.0	117.37	62.64	98.0	14.3	54.4	107.2	107.2	107.7	15.0	6.0	4326.53	500.0	107.0	4.0	308.0	1.0
55	0.0	52.0	1.0	4.63	1.18	3.0	4.37	0.99	6.0	3.25	0.21	2.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.11	0.32	99.0	5.71	1.0	28.0	1.62	2.64	99.0	0.72	0.45	99.0	4.24	1.01	11.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	0.0	0.0	2918.0	1.0
56	0.0	52.0	2.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0	0.0	0.0	99.0	1.0	0.0	99.0			0.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	0.0	4.0	173.0	1.0
57	0.0	52.0	3.0	4.97	1.22	16.0	5.09	1.63	8.0	5.04	0.97	28.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.53	0.5	99.0	6.58	1.16	99.0	6.58	1.16	99.0	0.0	0.0	99.0	5.03	1.14	52.0			0.0			0.0	6.9	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	6.53	6.5	4.0	177.0	1.0
58	0.0	52.0	4.0	4.97	1.22	16.0	4.7	1.31	7.0	5.04	0.97	28.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.52	0.5	99.0	6.57	1.15	99.0	6.58	1.15	99.0	0.0	0.0	99.0	4.97	1.08	51.0			0.0			0.0	6.9	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	6.53	6.5	5.0	74.0	1.0
59	0.0	52.0	5.0	3.47	0.81	3.0	3.1	0.26	3.0	3.45	0.07	2.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.08	0.27	99.0	3.91	0.98	99.0	3.91	0.97	99.0	0.0	0.0	99.0	3.32	0.49	8.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	4.0	4.0	3.0	213.0	1.0
60	1.0	53.0	1.0	3.95	0.64	2.0	4.3	0.87	3.0	4.43	1.63	3.0	0.3	1.72	99.0	0.51	2.2	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.08	0.27	99.0			0.0	2.57	1.69	99.0	1.0	0.0	99.0	4.26	1.04	8.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	2.3	27.0	4234.0	2.0
61	1.0	53.0	2.0	25.04	28.75	85.0	28.84	25.01	92.0	30.67	29.76	92.0	9.29	2.58	99.0	17.88	4.11	99.0	57.48	35.93	73.0	67.48	35.93	73.0	8.68	3.08	73.0	4.97	2.61	73.0	3373.39	1270.5	73.0	0.74	0.44	99.0	2.72	0.5	99.0			0.0	139.22	149.59	99.0	0.26	0.44	99.0	8.33	3.87	99.0	26.62	11.25	97.0	57.48	35.93	73.0	7.8	25.7	61.3	61.3	71.3	9.0	6.0	3586.4	500.0	60.3	6.0	221.0	2.0
62	1.0	53.0	3.0	49.8	86.76	73.0	34.9	51.66	85.0	36.04	63.43	83.0	8.59	3.5	99.0	15.76	5.73	99.0	82.09	92.43	50.0	92.09	92.43	50.0	11.04	9.42	50.0	6.98	6.65	50.0	5025.42	3832.86	50.0	0.51	0.5	99.0	2.43	0.63	99.0	61.91		1.0	235.37	172.17	99.0	0.48	0.5	99.0	10.9	7.8	99.0	47.93	74.41	92.0	82.09	92.43	50.0	7.1	26.4	352.7	352.7	362.7	58.0	29.0	15217.94	500.0	332.7	4.0	463.0	2.0
63	1.0	53.0	4.0	55.53	47.64	46.0	46.1	29.15	52.0	40.85	39.98	57.0	4.65	5.01	99.0	11.01	8.63	99.0	97.09	44.5	32.0	107.09	44.5	32.0	11.41	4.67	32.0	8.03	3.72	32.0	6483.15	2522.93	32.0	0.32	0.47	99.0	1.57	1.22	99.0	48.19	44.1	67.0	63.59	49.76	99.0	0.0	0.0	99.0	24.12	16.21	70.0	46.9	29.1	53.0	97.09	44.5	32.0	29.6	89.3	500.0	500.0	500.0	500.0	500.0	99999.0	52.19	49.8	3.0	399.0	2.0
64	1.0	53.0	5.0	39.29	30.89	44.0	44.48	26.14	51.0	47.6	32.24	43.0	4.44	4.99	99.0	9.49	8.25	99.0	85.28	32.91	22.0	95.28	32.91	22.0	11.91	4.0	22.0	8.55	3.05	22.0	6355.68	2145.54	22.0	0.22	0.42	99.0	1.39	1.16	99.0	47.05	38.13	77.0	55.33	40.25	99.0	0.0	0.0	99.0	25.59	13.93	67.0	50.06	21.82	49.0	85.28	32.91	22.0	35.5	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	49.75	48.6	5.0	125.0	2.0
65	0.0	54.0	1.0	134.24	77.59	88.0	122.43	74.85	82.0	133.0	90.64	81.0	0.0	0.0	99.0	0.0	0.0	99.0	192.63	71.48	63.0	192.63	71.48	63.0	23.27	9.84	63.0	7.56	4.68	63.0	6480.95	2486.38	63.0	0.64	0.48	99.0	2.54	0.7	99.0			0.0	216.09	99.4	99.0	0.36	0.48	99.0	82.11	63.25	97.0	137.64	71.97	91.0	192.63	71.48	63.0	66.3	123.9	249.5	249.5	249.5	30.0	11.0	7793.5	500.0	197.5	0.0	2924.0	3.0
66	0.0	54.0	2.0	61.91	37.25	97.0	48.06	32.39	99.0	40.15	47.01	98.0	0.0	0.0	99.0	0.0	0.0	99.0	89.55	43.52	96.0	89.55	43.52	96.0	6.5	2.14	96.0	3.77	2.2	96.0	2422.33	295.06	96.0	0.97	0.17	99.0	2.97	0.17	99.0			0.0	96.61	61.26	99.0	0.03	0.17	99.0	14.89	7.2	99.0	46.73	12.67	99.0	89.55	43.52	96.0	14.1	46.6	77.0	77.0	77.0	6.0	3.0	2408.5	500.0	77.0	0.0	219.0	3.0
67	0.0	54.0	3.0	96.07	95.12	70.0	86.03	63.45	80.0	72.48	64.94	65.0	0.0	0.0	99.0	0.0	0.0	99.0	175.11	89.88	47.0	175.11	89.88	47.0	27.81	26.62	47.0	3.66	2.54	47.0	3752.75	787.03	47.0	0.47	0.5	99.0	2.17	0.99	99.0	62.31	24.94	13.0	198.5	127.89	99.0	0.39	0.49	99.0	32.45	13.64	88.0	90.41	52.33	80.0	175.11	89.88	47.0	32.2	85.8	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	164.1	2.0	281.0	3.0
68	0.0	54.0	4.0	90.78	81.8	86.0	105.56	78.02	94.0	85.44	75.75	80.0	0.0	0.0	99.0	0.0	0.0	99.0	184.61	83.62	63.0	184.61	83.62	63.0	27.87	21.27	63.0	4.25	3.06	63.0	3967.18	909.7	63.0	0.64	0.48	99.0	2.63	0.51	99.0			0.0	192.9	95.3	99.0	0.36	0.48	99.0	34.17	15.57	99.0	97.47	53.48	98.0	184.61	83.62	63.0	32.1	78.8	274.5	274.5	274.5	32.0	6.0	4818.38	500.0	175.6	1.0	201.0	3.0
69	0.0	54.0	5.0	82.31	52.17	96.0	94.08	80.07	92.0	77.37	58.5	96.0	0.0	0.0	99.0	0.0	0.0	99.0	126.78	72.78	87.0	126.78	72.78	87.0	20.26	9.34	87.0	4.57	2.3	87.0	5059.43	1735.84	87.0	0.88	0.33	99.0	2.87	0.37	99.0			0.0	123.63	72.23	99.0	0.12	0.33	99.0	51.37	44.93	99.0	80.29	51.93	98.0	126.78	72.78	87.0	37.7	65.6	127.5	127.5	127.5	21.0	4.0	5005.81	500.0	108.1	5.0	106.0	3.0
70	1.0	55.0	1.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0	0.0	0.0	99.0	1.0	0.0	99.0			0.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	0.0	22.0	1558.0	1.0
71	1.0	55.0	2.0	17.9	9.62	2.0	22.08	3.38	5.0	16.83	3.9	4.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.11	0.32	99.0	24.79	5.87	82.0	20.53	10.81	99.0	0.17	0.38	99.0	19.41	5.01	11.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	26.88	23.4			1.0
72	1.0	55.0	3.0	45.14	26.24	41.0	43.14	28.62	36.0	44.6	41.78	21.0	0.0	0.0	99.0	0.0	0.0	99.0	104.28	62.45	4.0	104.28	62.45	4.0	25.5	23.01	4.0	4.25	1.5	4.0	4169.12	1751.09	4.0	0.04	0.2	99.0	0.99	0.87	99.0	61.6	36.9	5.0	44.67	35.69	99.0	0.91	0.29	99.0	32.65	20.77	65.0	62.13	26.37	29.0	104.28	62.45	4.0	43.5	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	44.8			1.0
73	1.0	55.0	4.0	131.65	100.12	84.0	106.16	89.2	83.0	150.35	108.45	80.0	0.0	0.0	99.0	0.0	0.0	99.0	222.78	99.0	60.0	222.78	99.0	60.0	30.55	16.2	60.0	12.12	7.24	60.0	6505.6	2169.3	60.0	0.61	0.49	99.0	2.49	0.69	99.0			0.0	289.57	113.42	99.0	0.39	0.49	99.0	61.44	55.41	99.0	141.45	84.52	88.0	222.78	99.0	60.0	41.0	146.1	324.1	324.1	324.1	46.0	18.0	8519.45	500.0	323.8			1.0
74	1.0	55.0	5.0	189.82	107.23	41.0	88.8	89.16	50.0	130.13	80.0	38.0	0.0	0.0	99.0	0.0	0.0	99.0	242.9	68.16	7.0	242.9	68.16	7.0	49.14	23.55	7.0	9.86	5.98	7.0	8809.59	1558.5	7.0	0.07	0.26	99.0	1.3	0.87	99.0			0.0	382.98	42.73	99.0	0.93	0.26	99.0	90.81	87.83	79.0	192.87	85.6	43.0	242.9	68.16	7.0	87.6	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	394.6			1.0
75	0.0	56.0	1.0	65.81	71.3	98.0	34.6	41.09	99.0	55.89	56.06	98.0	0.0	0.0	99.0	0.0	0.0	99.0	107.81	65.12	97.0	107.81	65.12	97.0	11.37	5.99	97.0	17.0	11.25	97.0	11895.96	6868.01	97.0	0.98	0.14	99.0	2.98	0.14	99.0			0.0	113.71	76.55	99.0	0.02	0.14	99.0	9.49	10.34	99.0	39.95	32.05	99.0	107.81	65.12	97.0	5.4	29.8	94.6	94.6	94.6	10.0	14.0	11010.77	500.0	94.6	0.0	2373.0	3.0
76	0.0	56.0	2.0	68.07	67.12	98.0	34.16	40.78	99.0	60.54	64.01	99.0	4.14	4.95	99.0	4.65	7.99	99.0	111.01	65.52	98.0	111.52	65.62	98.0	11.62	6.0	98.0	17.48	10.47	98.0	12217.36	6975.4	98.0	0.99	0.1	99.0	2.99	0.1	99.0			0.0	113.93	71.36	99.0	0.01	0.1	99.0	9.07	8.93	99.0	43.14	33.45	99.0	111.01	65.52	98.0	5.4	30.4	99.1	99.1	99.7	10.0	16.0	11316.42	500.0	99.1	2.0	128.0	3.0
77	0.0	56.0	3.0	49.53	42.05	92.0	26.95	43.82	94.0	38.08	46.92	95.0	5.35	5.01	99.0	4.04	6.69	99.0	88.67	51.38	83.0	87.46	52.21	83.0	9.14	3.5	83.0	10.0	5.65	83.0	10696.23	5863.78	83.0	0.84	0.37	99.0	2.84	0.37	99.0			0.0	138.98	124.4	99.0	0.16	0.37	99.0	6.6	4.79	99.0	27.23	17.3	99.0	88.67	51.38	83.0	5.1	21.8	88.1	88.1	88.1	9.0	10.0	10722.13	500.0	88.1	1.0	221.0	3.0
78	0.0	56.0	4.0	13.35	6.36	99.0	15.67	6.89	99.0	8.72	5.8	99.0	18.79	3.28	99.0	9.49	4.13	99.0	20.4	3.42	99.0	11.11	7.11	99.0	6.66	1.6	99.0	2.82	0.72	99.0	3418.42	612.1	99.0	1.0	0.0	99.0	3.0	0.0	99.0			0.0	20.4	3.43	99.0	0.0	0.0	99.0	4.54	1.69	99.0	12.8	2.28	99.0	20.4	3.42	99.0	4.3	12.4	20.7	20.7	11.2	6.0	3.0	3429.76	500.0	20.7	5.0	310.0	1.0
79	0.0	56.0	5.0	13.06	6.01	99.0	15.31	6.82	99.0	8.55	5.67	99.0	28.79	3.28	99.0	1.21	3.28	99.0	19.92	3.42	99.0	-7.66	7.15	99.0	6.33	1.39	99.0	2.75	0.64	99.0	3350.61	624.93	99.0	1.0	0.0	99.0	3.0	0.0	99.0			0.0	19.92	3.43	99.0	0.0	0.0	99.0	4.54	1.69	99.0	12.45	2.19	99.0	19.92	3.42	99.0	4.3	12.1	19.6	19.6	-9.1	6.0	3.0	3317.81	500.0	19.6	5.0	84.0	1.0
80	1.0	57.0	1.0	11.56	20.88	88.0	17.71	25.29	68.0	25.97	44.19	83.0	0.0	0.0	99.0	0.0	0.0	99.0	40.33	55.84	48.0	40.33	55.84	48.0	11.25	12.96	48.0	5.42	9.84	48.0	3577.13	2018.5	48.0	0.48	0.5	99.0	2.41	0.64	99.0			0.0	109.22	153.46	99.0	0.52	0.5	99.0	6.2	3.28	98.0	19.73	26.46	93.0	40.33	55.84	48.0	5.3	16.8	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	21.4	28.0	1534.0	1.0
81	1.0	57.0	2.0	11.56	20.88	88.0	17.59	25.46	67.0	25.97	44.19	83.0	1.52	3.6	99.0	2.73	6.2	99.0	40.63	56.4	47.0	41.9	56.1	47.0	11.34	13.08	47.0	5.49	9.94	47.0	3578.92	2040.29	47.0	0.47	0.5	99.0	2.4	0.64	99.0			0.0	109.17	153.49	99.0	0.53	0.5	99.0	6.2	3.28	98.0	19.73	26.46	93.0	40.63	56.4	47.0	5.3	16.8	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	21.1	2.0	103.0	1.0
82	1.0	57.0	3.0	11.56	20.88	88.0	17.59	25.46	67.0	25.97	44.19	83.0	12.63	7.64	99.0	11.41	7.56	99.0	40.63	56.4	47.0	38.71	62.78	47.0	11.34	13.08	47.0	5.49	9.94	47.0	3578.92	2040.29	47.0	0.47	0.5	99.0	2.4	0.64	99.0			0.0	109.17	153.49	99.0	0.53	0.5	99.0	6.2	3.28	98.0	19.73	26.46	93.0	40.63	56.4	47.0	5.3	16.8	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	21.1	6.0	162.0	1.0
83	1.0	57.0	4.0	14.68	37.02	84.0	18.45	17.0	87.0	30.22	37.87	84.0	14.34	8.1	99.0	11.31	8.04	99.0	43.66	56.76	64.0	40.53	57.03	64.0	10.27	3.72	64.0	6.61	11.52	64.0	4063.07	2725.11	64.0	0.65	0.48	99.0	2.58	0.62	99.0			0.0	42.84	69.61	99.0	0.35	0.48	99.0	7.87	5.52	99.0	19.6	11.76	92.0	43.66	56.76	64.0	6.1	17.3	38.1	38.1	49.0	13.0	6.0	4189.15	500.0	23.7	3.0	47.0	1.0
84	1.0	57.0	5.0	10.62	7.61	83.0	22.7	28.11	93.0	31.99	39.82	88.0	18.08	8.17	99.0	8.59	6.55	99.0	39.96	43.38	70.0	27.67	50.62	70.0	9.99	3.64	70.0	5.93	9.02	70.0	3870.74	2183.12	70.0	0.71	0.46	99.0	2.67	0.55	99.0			0.0	46.25	72.94	99.0	0.29	0.46	99.0	7.94	5.41	99.0	23.42	25.25	95.0	39.96	43.38	70.0	6.1	16.5	36.3	36.3	27.3	11.0	5.0	3806.2	500.0	24.4	4.0	155.0	1.0
85	0.0	58.0	1.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0	0.0	0.0	99.0	1.0	0.0	99.0			0.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	0.0	0.0	1459.0	1.0
86	0.0	58.0	2.0	10.83	6.84	98.0	12.98	4.71	99.0	19.05	7.51	99.0	29.39	2.4	99.0	0.51	2.2	99.0	22.57	3.95	98.0	-6.42	5.56	98.0	6.91	1.66	98.0	3.81	1.0	98.0	2854.42	470.56	98.0	0.99	0.1	99.0	2.99	0.1	99.0			0.0	22.57	3.93	99.0	0.01	0.1	99.0	6.37	2.32	99.0	14.05	2.96	99.0	22.57	3.95	98.0	5.8	13.9	23.3	23.3	-6.3	8.0	4.0	2992.14	500.0	23.2	7.0	42.0	1.0
87	0.0	58.0	3.0	8.58	5.47	98.0	10.27	3.51	99.0	14.64	5.66	99.0	29.29	2.58	99.0	0.61	2.4	99.0	17.57	2.96	98.0	-11.21	5.62	98.0	6.71	1.66	98.0	3.56	1.06	98.0	2820.86	479.33	98.0	0.99	0.1	99.0	2.99	0.1	99.0			0.0	17.57	2.95	99.0	0.01	0.1	99.0	5.02	1.2	99.0	10.99	2.09	99.0	17.57	2.96	98.0	5.1	11.2	18.4	18.4	-11.3	8.0	4.0	2932.72	500.0	18.4	3.0	57.0	1.0
88	0.0	58.0	4.0	9.26	6.56	97.0	11.01	4.13	98.0	17.48	6.95	98.0	29.09	3.22	99.0	0.51	2.62	99.0	20.77	3.61	95.0	-8.18	6.29	95.0	7.14	1.6	95.0	3.42	1.14	95.0	2822.09	447.91	95.0	0.96	0.2	99.0	2.96	0.2	99.0			0.0	23.02	23.55	99.0	0.04	0.2	99.0	5.13	1.31	99.0	12.22	2.96	99.0	20.77	3.61	95.0	5.1	12.0	21.8	21.8	-8.1	8.0	4.0	2951.12	500.0	21.7	3.0	43.0	1.0
89	0.0	58.0	5.0	9.29	6.63	97.0	11.01	4.13	98.0	17.51	6.98	98.0	29.09	3.22	99.0	0.51	2.62	99.0	20.82	3.68	95.0	-8.13	6.33	95.0	7.12	1.58	95.0	3.45	1.18	95.0	2825.8	453.2	95.0	0.96	0.2	99.0	2.96	0.2	99.0			0.0	20.91	3.95	99.0	0.04	0.2	99.0	5.13	1.31	99.0	12.21	2.96	99.0	20.82	3.68	95.0	5.1	12.0	21.8	21.8	-8.1	8.0	4.0	2951.12	500.0	21.7	3.0	36.0	1.0
90	1.0	59.0	1.0	80.48	90.71	88.0	77.03	91.6	97.0	125.72	124.35	97.0	0.0	0.0	99.0	0.0	0.0	99.0	186.81	111.48	85.0	186.81	111.48	85.0	8.67	3.54	85.0	16.19	9.87	85.0	24858.95	15624.7	85.0	0.86	0.35	99.0	2.85	0.39	99.0			0.0	216.96	127.38	99.0	0.14	0.35	99.0	25.09	37.74	99.0	85.57	88.22	98.0	186.81	111.48	85.0	16.4	39.1	211.4	211.4	211.4	8.0	17.0	28731.89	500.0	211.4	20.0	1581.0	3.0
91	1.0	59.0	2.0	72.58	51.3	99.0	34.04	29.98	99.0	74.16	55.58	99.0	0.0	0.0	99.0	0.0	0.0	99.0	102.43	49.74	99.0	102.43	49.74	99.0	9.04	3.24	99.0	24.03	12.8	99.0	9941.63	5317.08	99.0	1.0	0.0	99.0	3.0	0.0	99.0			0.0	102.41	49.74	99.0	0.0	0.0	99.0	17.25	10.78	99.0	61.1	37.49	99.0	102.43	49.74	99.0	16.8	53.5	87.6	87.6	87.6	8.0	20.0	8522.95	500.0	87.6	3.0	286.0	3.0
